ID,Name,Concepticon_ID,Concepticon_Gloss,Proto_ID
tigre,jaguar,1250,JAGUAR,152_girardprototakanan
jaw,jaw,798,JAW,"§188_oliveiraprotopanoan, 184_girardprototakanan"
join,join,1743,JOIN,501_girardprototakanan
jump,jump,1829,JUMP,
mapajo,kapok tree,2499,KAPOK TREE,92_girardprotopanotakanan
kidney,kidney,489,KIDNEY,331_girardprototakanan
kill,kill,1417,KILL,§360_oliveiraprotopanoan
knee,knee,1371,KNEE,"§354_oliveiraprotopanoan, §359_oliveiraprotopanoan, 37_girardprotopanotakanan"
kneel,kneel,66,KNEEL,
knowsomething,know (something),1410,KNOW (SOMETHING),27_girardprototakanan
lake,lake,624,LAKE,"§14_oliveiraprotopanoan, 28_girardprototakanan, 19_girardprotopanotakanan"
language,language,1307,LANGUAGE,
laugh,laugh,1355,LAUGH,"§37_oliveiraprotopanoan, 90_girardprototakanan"
lazy,lazy,1564,LAZY,
leaf,leaf,628,LEAF,
tolearn,learn,504,LEARN,§35_oliveiraprotopanoan
skinleather,leather or hide,3326,LEATHER OR HIDE,§88_oliveiraprotopanoan
leave,leave,1752,LEAVE,§133_oliveiraprotopanoan
left,left,244,LEFT,
leg,leg,1297,LEG,398_girardprototakanan
lick,lick,319,LICK,106_girardprototakanan
liemislead,lie (mislead),601,LIE (MISLEAD),§119_oliveiraprotopanoan
liedown,lie down,215,LIE DOWN,"§356_oliveiraprotopanoan, 374_girardprototakanan"
lift,lift,501,LIFT,
lightignite,light (ignite),737,LIGHT (IGNITE),433_girardprototakanan
lightradiation,light (radiation),630,LIGHT (RADIATION),444_girardprototakanan
lightweight,light (weight),1052,LIGHT (WEIGHT),
lightning,lightning,1654,LIGHTNING,§167_oliveiraprotopanoan
lip,lip,478,LIP,§157_oliveiraprotopanoan
liquidwater,liquid,58,LIQUID,§131_oliveiraprotopanoan
liver,liver,1224,LIVER,"§438_oliveiraprotopanoan, 403_girardprototakanan, 104_girardprotopanotakanan"
lizard,lizard,632,LIZARD,47_girardprototakanan
long,long,1203,LONG,31_girardprototakanan
look,look,1819,LOOK,§33_oliveiraprotopanoan
lookfor,look for,1468,LOOK FOR,
louse,louse,1392,LOUSE,"§13_oliveiraprotopanoan, 63_girardprototakanan"
love,love,923,LOVE,§289_oliveiraprotopanoan
lowerpartofleg,lower leg,447,LOWER LEG,§481_oliveiraprotopanoan
lung,lung,688,LUNG,
macaw,macaw,1630,MACAW,52_girardprotopanotakanan
maize,maize,506,MAIZE,"§409_oliveiraprotopanoan, 191_girardprototakanan, 116_girardprotopanotakanan"
domake,make,734,MAKE,1_girardprotopanotakanan
todry,make dry,2015,MAKE DRY,73_girardprotopanotakanan
man,male person,2106,MALE PERSON,§77_oliveiraprotopanoan
many,many,1198,MANY,§27_oliveiraprotopanoan
marry,marry,203,MARRY,
mat,mat,195,MAT,§335_oliveiraprotopanoan
maternalaunt,maternal aunt (mother's sister),2693,MATERNAL AUNT (MOTHER'S SISTER),§189_oliveiraprotopanoan
maternaluncle,maternal uncle (mother's brother),2692,MATERNAL UNCLE (MOTHER'S BROTHER),§191_oliveiraprotopanoan
meat,meat,634,MEAT,"§258_oliveiraprotopanoan, 78_girardprotopanotakanan"
medicine,medicine,1372,MEDICINE,"§350_oliveiraprotopanoan, 154_girardprototakanan"
meet,meet,1831,MEET,§241_oliveiraprotopanoan
menstruate,menstruate,2827,MENSTRUATE,
metal,metal,2244,METAL,§215_oliveiraprotopanoan
mightyorpowerfulorstrong,mighty or powerful or strong,3188,MIGHTY OR POWERFUL OR STRONG,
milk,milk,635,MILK,
