ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Alignment,Morphemes,Dataset
sharanawa-steal-3,,sharanawa,steal,yomɨtsoi,yomɨtsoi,j o m ɨ ts o i,None,,5943,,,,5530,j o m ɨ ts o ( i ),,oliveiraprotopanoan
sharanawa-steal-4,,sharanawa,steal,yomɨtsoa,yomɨtsoa,j o m ɨ ts o a,None,,5943,,,,5530,j o m ɨ ts o ( a ),,oliveiraprotopanoan
kaxinawa-steal-1,,kaxinawa,steal,yumɨtsu-,yumɨtsu-,j u m ɨ ts u,None,,5943,,,,5530,j u m ɨ ts u ( - ),,oliveiraprotopanoan
marinawa-steal-1,,marinawa,steal,yómɨtso,yómɨtso,j !ó/o m ɨ ts o,None,,5943,,,,5530,j !ó/o m ɨ ts o ( - ),,oliveiraprotopanoan
protopanoan-peoplehumanbody-1,,protopanoan,peoplehumanbody,yoɽa,yoɽa,j o ɽ a,None,,5944,,,,5531,j o ɽ a ( - ),,oliveiraprotopanoan
kashibo-peoplehumanbody-1,,kashibo,peoplehumanbody,ra-,ra-,r a,None,,5945,,,,5532,- - r a ( - ),,oliveiraprotopanoan
shipibokonibo-peoplehumanbody-1,,shipibokonibo,peoplehumanbody,yora,yora,j o r a,None,,5944,,,,5531,j o r a ( - ),,oliveiraprotopanoan
kapanawa-peoplehumanbody-1,,kapanawa,peoplehumanbody,yora,yora,j o r a,None,,5944,,,,5531,j o r a ( - ),,oliveiraprotopanoan
marubo-shade-2,,marubo,shade,ˈyora,ˈyora,j o r a,None,,5944,,,,5531,j o r a ( - ),,oliveiraprotopanoan
marubo-peoplehumanbody-1,,marubo,peoplehumanbody,yora,yora,j o r a,None,,5944,,,,5531,j o r a ( - ),,oliveiraprotopanoan
chakobo-peoplehumanbody-1,,chakobo,peoplehumanbody,ˈyora,ˈyora,j o r a,None,,5944,,,,5531,j o r a ( - ),,oliveiraprotopanoan
yaminawa-peoplehumanbody-1,,yaminawa,peoplehumanbody,yora,yora,j o r a,None,,5944,,,,5531,j o r a ( - ),,oliveiraprotopanoan
yaminawa-peoplehumanbody-2,,yaminawa,peoplehumanbody,yorã,yorã,j o r a ∼,None,,5944,,,,5531,j o r a ( ∼ ),,oliveiraprotopanoan
chaninawa-peoplehumanbody-1,,chaninawa,peoplehumanbody,yuɾa,yuɾa,j u ɾ a,None,,5944,,,,5531,j u ɾ a ( - ),,oliveiraprotopanoan
chaninawa-peoplehumanbody-2,,chaninawa,peoplehumanbody,yora,yora,j o r a,None,,5944,,,,5531,j o r a ( - ),,oliveiraprotopanoan
sharanawa-peoplehumanbody-1,,sharanawa,peoplehumanbody,yora,yora,j o r a,None,,5944,,,,5531,j o r a ( - ),,oliveiraprotopanoan
sharanawa-peoplehumanbody-2,,sharanawa,peoplehumanbody,yoran,yoran,j o r a n,None,,5944,,,,5531,j o r a ( n ),,oliveiraprotopanoan
katukina-peoplehumanbody-1,,katukina,peoplehumanbody,yura,yura,j u r a,None,,5944,,,,5531,j u r a ( - ),,oliveiraprotopanoan
amawaka-peoplehumanbody-1,,amawaka,peoplehumanbody,yora,yora,j o r a,II,,5944,,,,5531,j o r a ( - ),,oliveiraprotopanoan
kaxinawa-peoplehumanbody-1,,kaxinawa,peoplehumanbody,yura,yura,j u r a,None,,5944,,,,5531,j u r a ( - ),,oliveiraprotopanoan
marinawa-peoplehumanbody-1,,marinawa,peoplehumanbody,yórá,yórá,j !ó/o r !á/a,None,,5944,,,,5531,j !ó/o r !á/a ( - ),,oliveiraprotopanoan
yawanawa-shade-1,,yawanawa,shade,iuɾa,iuɾa,j u ɾ a,None,,5944,,,,5531,j u ɾ a ( - ),,oliveiraprotopanoan
korubo-peoplehumanbody-1,,korubo,peoplehumanbody,ɬaɬa,ɬaɬa,ɬ a ɬ a,None,,5946,,,,5533,ɬ a ɬ a ( - ),,oliveiraprotopanoan
matis-peoplehumanbody-1,,matis,peoplehumanbody,dada,dada,d a d a,None,,5947,,,,5534,d a d a ( - ),,oliveiraprotopanoan
matses-peoplehumanbody-1,,matses,peoplehumanbody,daˈra,daˈra,d a r a,None,,5948,,,,5535,d a r a ( - ),,oliveiraprotopanoan
protopanoan-grow-1,,protopanoan,grow,yo[o]si,yo[o]si,j o o s i,None,,5949,,,,5536,j o o s i ( - - - - - ),,oliveiraprotopanoan
kashibo-grow-3,,kashibo,grow,usi,usi,u s i,None,,5949,,,,5536,- u - s i ( - - - - - ),,oliveiraprotopanoan
shipibokonibo-grow-3,,shipibokonibo,grow,yosi,yosi,j o s i,None,,5949,,,,5536,j o - s i ( - - - - - ),,oliveiraprotopanoan
kapanawa-old-3,,kapanawa,old,yosiβo,yosiβo,j o s i β o,None,,5949,,,,5536,j o - s i ( β o - - - ),,oliveiraprotopanoan
marubo-grow-1,,marubo,grow,yosi,yosi,j o s i,None,,5949,,,,5536,j o - s i ( - - - - - ),,oliveiraprotopanoan
